EmployeeNo,Attrition,JobRole,Department,Education,Age,YearsSinceLastPromotion,MonthlyIncome,JobSatisfaction,PerformanceRating
39,No,Laboratory Technician,Research & Development,Bachelor's,33,0,2496,4,3
40,No,Healthcare Representative,Research & Development,Master's,44,1,6465,4,3
41,No,Laboratory Technician,Research & Development,Some university,30,1,2206,3,3
42,Yes,Sales Representative,Sales,Bachelor's,39,0,2086,4,3
45,Yes,Research Scientist,Research & Development,Bachelor's,24,2,2293,4,3
46,No,Research Scientist,Research & Development,Some university,43,1,2645,3,3
47,Yes,Sales Representative,Sales,Some university,50,0,2683,3,3
49,No,Sales Representative,Sales,Bachelor's,35,2,2014,4,3
51,No,Research Scientist,Research & Development,Master's,36,0,3419,1,3
52,No,Sales Executive,Sales,Bachelor's,33,1,5376,1,3
53,No,Laboratory Technician,Research & Development,Some university,35,0,1951,4,3
54,No,Laboratory Technician,Research & Development,Master's,27,0,2341,1,3
55,Yes,Laboratory Technician,Research & Development,Bachelor's,26,0,2293,3,3
56,No,Sales Executive,Sales,Bachelor's,27,1,8726,3,3
57,No,Laboratory Technician,Research & Development,Some university,30,3,4011,4,4
58,No,Research Director,Research & Development,Bachelor's,41,15,19545,3,3
60,No,Sales Executive,Sales,Master's,34,8,4568,3,4
61,No,Research Scientist,Research & Development,Some university,37,0,3022,2,4
62,No,Sales Executive,Sales,Master's,46,0,5772,4,4
63,No,Laboratory Technician,Research & Development,High school or below,35,0,2269,4,3
64,Yes,Laboratory Technician,Research & Development,Some university,48,0,5381,3,3
65,Yes,Laboratory Technician,Research & Development,Master's,28,2,3441,3,3
68,No,Sales Executive,Sales,Doctorate,44,1,5454,1,4
70,No,Healthcare Representative,Research & Development,Some university,35,2,9884,1,3
72,No,Sales Executive,Sales,Bachelor's,26,0,4157,4,3
73,No,Research Director,Research & Development,Some university,33,8,13458,4,3
74,No,Sales Executive,Sales,Doctorate,35,1,9069,1,4
75,No,Laboratory Technician,Research & Development,Master's,35,2,4014,1,3
76,No,Laboratory Technician,Research & Development,Master's,31,1,5915,4,4
77,No,Manufacturing Director,Research & Development,Master's,37,0,5993,3,3
78,No,Manufacturing Director,Research & Development,Bachelor's,32,7,6162,4,4
79,No,Laboratory Technician,Research & Development,Doctorate,38,9,2406,4,3
80,No,Research Director,Research & Development,Some university,50,13,18740,3,3
81,No,Sales Executive,Sales,Bachelor's,59,7,7637,1,3
83,No,Healthcare Representative,Research & Development,Bachelor's,36,12,10096,3,3
84,No,Manager,Research & Development,Bachelor's,55,0,14756,3,3
85,No,Manufacturing Director,Research & Development,Bachelor's,36,0,6499,2,3
86,No,Research Scientist,Research & Development,Bachelor's,45,0,9724,1,3
88,No,Research Scientist,Research & Development,Bachelor's,35,1,2194,1,3
90,Yes,Research Scientist,Research & Development,Bachelor's,36,0,3388,3,3
91,No,Sales Executive,Sales,High school or below,59,1,5473,3,3
94,No,Research Scientist,Research & Development,Bachelor's,29,0,2703,2,4
95,No,Research Scientist,Research & Development,Master's,31,1,2501,2,3
96,No,Research Scientist,Research & Development,Bachelor's,32,0,6220,2,3
97,No,Laboratory Technician,Research & Development,Bachelor's,36,0,3038,4,3
98,No,Manufacturing Director,Research & Development,Master's,31,1,4424,4,4
100,No,Sales Executive,Sales,Master's,35,2,4312,1,3
101,No,Research Director,Research & Development,Master's,45,0,13245,1,3
102,No,Research Director,Research & Development,Master's,37,0,13664,3,3
103,No,Human Resources,Human Resources,Some university,46,0,5021,2,4
104,No,Laboratory Technician,Research & Development,High school or below,30,3,5126,4,3
105,No,Research Scientist,Research & Development,Bachelor's,35,0,2859,3,3
106,No,Sales Executive,Sales,Some university,55,1,10239,4,3
107,No,Research Scientist,Research & Development,Bachelor's,38,1,5329,4,3
110,No,Manufacturing Director,Research & Development,Some university,34,1,4325,2,3
112,No,Manufacturing Director,Research & Development,Bachelor's,56,0,7260,4,3
113,No,Sales Representative,Sales,High school or below,23,0,2322,1,3
116,No,Laboratory Technician,Research & Development,Master's,51,0,2075,4,4
117,No,Healthcare Representative,Research & Development,Bachelor's,30,10,4152,4,3
118,Yes,Sales Executive,Sales,Some university,46,4,9619,4,3
119,No,Healthcare Representative,Research & Development,Master's,40,11,13503,2,4
120,No,Sales Executive,Sales,Master's,51,1,5441,4,4
121,No,Sales Executive,Sales,Some university,30,2,5209,2,3
124,No,Healthcare Representative,Research & Development,Bachelor's,46,9,10673,1,3
125,No,Sales Executive,Sales,Master's,32,5,5010,3,3
126,No,Research Director,Research & Development,Master's,54,0,13549,3,3
128,No,Sales Executive,Sales,Some university,24,0,4999,3,4
129,No,Sales Executive,Sales,Bachelor's,28,0,4221,3,3
131,No,Sales Executive,Sales,Master's,58,1,13872,3,3
132,No,Laboratory Technician,Research & Development,Bachelor's,44,1,2042,2,3
133,Yes,Human Resources,Human Resources,Master's,37,0,2073,1,4
134,No,Research Scientist,Research & Development,High school or below,32,0,2956,1,3
137,Yes,Laboratory Technician,Research & Development,Bachelor's,20,1,2926,4,3
138,No,Research Scientist,Research & Development,Master's,34,2,4809,3,3
139,No,Healthcare Representative,Research & Development,Some university,37,0,5163,4,3
140,No,Manager,Human Resources,Master's,59,2,18844,4,4
141,No,Research Director,Research & Development,Bachelor's,50,0,18172,2,3
142,Yes,Sales Executive,Sales,Bachelor's,25,0,5744,3,3
143,No,Research Scientist,Research & Development,High school or below,25,2,2889,4,3
144,No,Laboratory Technician,Research & Development,Bachelor's,22,0,2871,4,3
145,No,Healthcare Representative,Research & Development,Master's,51,12,7484,1,4
147,Yes,Laboratory Technician,Research & Development,Bachelor's,34,0,6074,3,4
148,No,Manager,Human Resources,Bachelor's,54,4,17328,4,3
150,No,Laboratory Technician,Research & Development,High school or below,24,1,2774,3,3
151,No,Research Scientist,Research & Development,Master's,34,0,4505,2,3
152,No,Sales Executive,Sales,Bachelor's,37,1,7428,4,3
153,No,Manager,Research & Development,Bachelor's,34,5,11631,1,3
154,No,Sales Executive,Sales,Some university,36,2,9738,4,3
155,No,Laboratory Technician,Research & Development,Some university,36,0,2835,4,4
158,No,Manager,Sales,Some university,43,4,16959,4,3
159,No,Research Scientist,Research & Development,Bachelor's,30,0,2613,3,4
160,No,Sales Executive,Sales,Some university,33,0,6146,2,3
161,Yes,Research Scientist,Research & Development,Master's,56,4,4963,2,3
162,No,Research Director,Research & Development,Bachelor's,51,15,19537,3,3
163,Yes,Sales Executive,Sales,Master's,31,7,6172,3,3
164,No,Research Scientist,Research & Development,Bachelor's,26,4,2368,2,3
165,Yes,Healthcare Representative,Research & Development,Master's,58,15,10312,4,3
167,Yes,Sales Representative,Sales,High school or below,19,0,1675,3,3
169,No,Laboratory Technician,Research & Development,High school or below,22,2,2523,4,3
170,No,Manufacturing Director,Research & Development,Master's,49,5,6567,1,3
171,No,Research Scientist,Research & Development,Bachelor's,43,1,4739,3,3
174,No,Sales Executive,Sales,Bachelor's,50,2,9208,4,3
175,Yes,Sales Executive,Sales,Bachelor's,31,2,4559,3,3
176,No,Sales Executive,Sales,High school or below,41,0,8189,3,3
177,No,Human Resources,Human Resources,High school or below,26,5,2942,3,4
178,No,Manufacturing Director,Research & Development,Some university,36,0,4941,2,4
179,Yes,Manufacturing Director,Research & Development,Master's,51,0,10650,4,3
182,No,Sales Executive,Sales,Master's,39,5,5902,3,3
183,No,Sales Executive,Sales,Bachelor's,25,2,8639,3,3
184,No,Human Resources,Human Resources,Bachelor's,30,4,6347,4,3
190,Yes,Laboratory Technician,Research & Development,Bachelor's,32,0,4200,1,4
192,No,Research Scientist,Research & Development,Bachelor's,45,0,3452,4,3
193,No,Research Scientist,Research & Development,Doctorate,38,2,4317,3,4
194,No,Research Scientist,Research & Development,Bachelor's,30,0,2632,3,3
195,No,Sales Executive,Sales,Some university,32,0,4668,4,3
197,No,Research Scientist,Research & Development,Bachelor's,30,2,3204,1,3
198,No,Laboratory Technician,Research & Development,High school or below,30,1,2720,4,3
199,No,Manager,Research & Development,Bachelor's,41,7,17181,1,3
200,No,Laboratory Technician,Research & Development,Master's,41,1,2238,1,4
201,No,Laboratory Technician,Research & Development,High school or below,19,0,1483,2,3
202,No,Research Scientist,Research & Development,Bachelor's,40,2,5605,2,3
204,No,Sales Executive,Sales,Doctorate,35,0,7295,2,3
205,No,Sales Representative,Sales,Some university,53,4,2306,3,4
206,No,Laboratory Technician,Research & Development,Bachelor's,45,0,2348,2,3
207,No,Sales Executive,Sales,Bachelor's,32,3,8998,4,3
208,No,Manufacturing Director,Research & Development,High school or below,29,0,4319,3,3
211,No,Manufacturing Director,Research & Development,Master's,51,0,6132,3,3
214,No,Research Scientist,Research & Development,Bachelor's,58,0,3346,2,4
215,No,Sales Executive,Sales,Master's,40,2,10855,4,3
216,No,Sales Representative,Sales,Master's,34,1,2231,3,3
217,No,Research Scientist,Research & Development,High school or below,22,2,2323,4,4
218,No,Research Scientist,Research & Development,Bachelor's,27,2,2024,2,3
221,No,Research Scientist,Research & Development,Bachelor's,28,0,2713,4,3
223,No,Healthcare Representative,Research & Development,Some university,57,1,9439,4,3
224,No,Research Scientist,Research & Development,Bachelor's,27,0,2566,3,3
226,No,Manager,Research & Development,Bachelor's,50,4,19926,2,3
227,No,Research Scientist,Research & Development,Bachelor's,41,1,2451,3,3
228,No,Sales Executive,Sales,Bachelor's,30,7,9419,4,3
230,No,Sales Executive,Sales,Master's,38,0,8686,4,4
231,No,Research Scientist,Research & Development,Doctorate,32,1,3038,3,4
233,No,Research Scientist,Research & Development,Bachelor's,27,1,3058,2,3
235,Yes,Sales Representative,Sales,High school or below,19,0,2325,1,4
238,No,Laboratory Technician,Research & Development,Some university,36,7,2088,2,3
239,No,Laboratory Technician,Research & Development,Bachelor's,30,6,3072,1,3
240,No,Sales Executive,Sales,Some university,45,0,5006,1,3
241,No,Research Scientist,Research & Development,Bachelor's,56,2,4257,1,3
242,No,Research Scientist,Research & Development,Bachelor's,33,0,2500,4,3
243,Yes,Laboratory Technician,Research & Development,Bachelor's,19,1,1102,4,4
244,No,Sales Executive,Sales,Some university,46,15,10453,1,4
245,No,Laboratory Technician,Research & Development,Some university,38,2,2288,4,3
246,No,Research Scientist,Research & Development,High school or below,31,0,3929,4,4
247,No,Research Scientist,Research & Development,Some university,34,1,2311,2,3
248,Yes,Sales Representative,Sales,Some university,41,0,3140,2,4
249,No,Laboratory Technician,Research & Development,Bachelor's,50,0,3690,3,3
250,No,Manufacturing Director,Research & Development,Some university,53,1,4450,1,3
252,No,Research Scientist,Research & Development,Bachelor's,33,1,2756,2,3
253,No,Manager,Research & Development,High school or below,40,9,19033,3,3
254,No,Research Director,Research & Development,Master's,55,2,18722,2,3
256,No,Manufacturing Director,Research & Development,High school or below,34,1,9547,3,3
258,No,Healthcare Representative,Research & Development,Bachelor's,51,1,13734,2,3
259,No,Manager,Research & Development,Master's,52,11,19999,3,3
260,No,Research Scientist,Research & Development,Bachelor's,27,0,2279,2,3
261,Yes,Manufacturing Director,Research & Development,Some university,35,0,5916,3,3
262,No,Research Scientist,Research & Development,Bachelor's,43,2,2089,4,3
264,No,Manager,Research & Development,Some university,45,11,16792,4,4
267,No,Research Scientist,Research & Development,Bachelor's,37,1,3564,1,3
269,No,Laboratory Technician,Research & Development,Bachelor's,35,1,4425,2,3
270,No,Manufacturing Director,Research & Development,Some university,42,0,5265,3,3
271,No,Manufacturing Director,Research & Development,Master's,38,0,6553,3,3
273,No,Manufacturing Director,Research & Development,Bachelor's,38,1,6261,4,3
274,No,Manufacturing Director,Research & Development,High school or below,27,2,4298,1,3
275,No,Manufacturing Director,Research & Development,Master's,49,1,6804,4,3
277,No,Research Scientist,Research & Development,Master's,34,2,3815,3,3
281,No,Laboratory Technician,Research & Development,Some university,40,3,2741,4,3
282,Yes,Healthcare Representative,Research & Development,High school or below,38,0,6673,1,3
283,Yes,Sales Executive,Sales,Bachelor's,29,1,7639,4,4
284,No,Research Scientist,Research & Development,Bachelor's,22,2,2328,2,3
286,No,Laboratory Technician,Research & Development,High school or below,36,1,2153,4,3
287,No,Healthcare Representative,Research & Development,Doctorate,40,0,4876,4,3
288,No,Healthcare Representative,Research & Development,Master's,46,0,9396,1,3
291,Yes,Sales Executive,Sales,Master's,32,9,10400,4,3
292,No,Manufacturing Director,Research & Development,High school or below,30,5,8474,3,4
293,No,Sales Executive,Sales,Bachelor's,27,0,9981,3,3
296,No,Research Director,Research & Development,Master's,51,4,12490,2,3
297,Yes,Research Scientist,Research & Development,Bachelor's,30,0,2657,1,3
298,No,Manager,Sales,Bachelor's,41,0,13591,4,3
299,Yes,Sales Executive,Sales,Master's,30,0,6696,1,3
300,Yes,Research Scientist,Research & Development,Bachelor's,29,1,2058,3,3
302,No,Sales Executive,Sales,Bachelor's,45,12,8865,4,3
303,No,Sales Executive,Sales,Bachelor's,54,0,5940,1,3
304,No,Laboratory Technician,Research & Development,Some university,36,3,5914,2,3
305,No,Research Scientist,Research & Development,Master's,33,1,2622,2,4
306,No,Research Director,Research & Development,Bachelor's,37,0,12185,4,3
307,No,Sales Executive,Sales,Bachelor's,38,5,10609,3,3
308,No,Manufacturing Director,Research & Development,Master's,31,1,4345,3,3
309,No,Research Scientist,Research & Development,Bachelor's,59,0,2177,4,3
311,No,Sales Representative,Sales,Master's,37,5,2793,4,3
312,No,Sales Executive,Sales,High school or below,29,4,7918,4,3
314,No,Sales Executive,Sales,Bachelor's,35,0,8789,3,3
315,Yes,Research Scientist,Research & Development,High school or below,29,0,2389,4,3
316,No,Laboratory Technician,Research & Development,Bachelor's,52,2,3212,4,3
319,No,Manager,Research & Development,Some university,42,11,19232,4,3
321,No,Human Resources,Human Resources,Some university,59,2,2267,3,3
323,No,Manager,Sales,Master's,50,0,19517,4,3
325,Yes,Laboratory Technician,Research & Development,Bachelor's,33,0,2436,4,3
327,No,Manager,Sales,Bachelor's,43,1,16064,4,4
328,Yes,Laboratory Technician,Research & Development,Some university,33,1,2707,1,4
329,No,Manager,Sales,Master's,52,15,19068,3,3
330,No,Sales Representative,Sales,Some university,32,1,3931,2,3
331,Yes,Laboratory Technician,Research & Development,Bachelor's,32,1,3730,3,3
332,No,Laboratory Technician,Research & Development,Master's,39,1,2232,3,3
333,No,Sales Executive,Sales,Master's,32,2,4465,4,3
334,No,Research Scientist,Research & Development,Some university,41,0,3072,1,3
335,No,Research Scientist,Research & Development,Some university,40,4,3319,4,3
336,No,Manager,Research & Development,Bachelor's,45,1,19202,4,3
337,No,Research Director,Research & Development,Master's,31,2,13675,3,3
338,No,Research Scientist,Research & Development,Master's,33,0,2911,4,3
339,No,Manufacturing Director,Research & Development,Master's,34,5,5957,1,3
340,No,Research Scientist,Research & Development,Some university,37,0,3920,1,3
341,No,Manufacturing Director,Research & Development,Master's,45,0,6434,3,3
342,Yes,Manufacturing Director,Research & Development,Bachelor's,37,0,10048,3,3
343,No,Healthcare Representative,Research & Development,Master's,39,11,10938,3,4
346,No,Research Scientist,Research & Development,Bachelor's,29,1,2340,4,3
347,No,Research Scientist,Research & Development,Some university,42,0,6545,1,3
349,No,Sales Executive,Sales,Some university,29,0,6931,4,3
350,No,Manufacturing Director,Research & Development,Bachelor's,25,1,4898,3,3
351,No,Laboratory Technician,Research & Development,Bachelor's,42,7,2593,1,3
352,No,Research Director,Research & Development,Some university,40,3,19436,3,3
353,No,Research Scientist,Research & Development,Bachelor's,51,0,2723,4,3
355,Yes,Laboratory Technician,Research & Development,Some university,31,1,3479,2,3
359,No,Laboratory Technician,Research & Development,Bachelor's,32,0,2794,2,4
361,No,Sales Executive,Sales,Some university,38,7,5249,4,3
362,No,Laboratory Technician,Research & Development,High school or below,32,0,2176,1,3
363,No,Manager,Sales,Bachelor's,46,7,16872,2,3
364,Yes,Laboratory Technician,Research & Development,Master's,28,0,3485,3,3
366,No,Sales Executive,Sales,Bachelor's,29,0,6644,2,3
367,No,Healthcare Representative,Research & Development,Bachelor's,31,7,5582,4,4
369,No,Healthcare Representative,Research & Development,Some university,25,1,4000,1,3
372,No,Healthcare Representative,Research & Development,Some university,45,4,13496,4,3
373,No,Laboratory Technician,Research & Development,Bachelor's,36,10,3210,4,3
374,No,Manager,Research & Development,Bachelor's,55,4,19045,1,3
376,Yes,Manager,Research & Development,Master's,47,9,11849,2,3
377,No,Research Scientist,Research & Development,Bachelor's,28,0,2070,4,4
378,No,Sales Executive,Sales,Master's,37,0,6502,4,3
379,No,Research Scientist,Research & Development,Some university,21,1,3230,3,3
380,No,Research Director,Research & Development,Master's,37,0,13603,4,3
381,No,Manager,Research & Development,Bachelor's,35,6,11996,2,3
382,No,Sales Executive,Sales,Some university,38,7,5605,1,4
384,No,Manufacturing Director,Research & Development,Bachelor's,26,1,6397,2,4
385,No,Research Director,Research & Development,High school or below,50,1,19144,2,3
386,No,Research Director,Research & Development,Master's,53,1,17584,3,3
387,No,Sales Executive,Sales,High school or below,42,11,4907,3,4
388,No,Sales Executive,Sales,Some university,29,0,4554,4,3
389,No,Laboratory Technician,Research & Development,Some university,55,0,5415,4,3
390,No,Healthcare Representative,Research & Development,Some university,26,3,4741,1,3
391,No,Research Scientist,Research & Development,Bachelor's,37,5,2115,4,3
392,Yes,Laboratory Technician,Research & Development,Bachelor's,44,0,3161,3,4
393,No,Healthcare Representative,Research & Development,Master's,38,1,5745,4,3
394,Yes,Laboratory Technician,Research & Development,Master's,26,0,2373,2,3
395,No,Research Scientist,Research & Development,Some university,28,0,3310,4,4
396,No,Research Director,Research & Development,Master's,49,1,18665,1,3
397,No,Research Scientist,Research & Development,Bachelor's,36,7,4485,2,3
399,No,Sales Representative,Sales,Bachelor's,31,2,2789,2,3
401,Yes,Sales Executive,Sales,Master's,26,7,5828,4,3
403,No,Research Scientist,Research & Development,Bachelor's,37,1,2326,4,3
404,No,Sales Executive,Sales,Bachelor's,42,4,13525,2,3
405,Yes,Laboratory Technician,Research & Development,Bachelor's,18,0,1420,3,3
406,No,Sales Executive,Sales,Bachelor's,35,6,8020,2,3
407,No,Laboratory Technician,Research & Development,Master's,36,0,3688,4,3
408,No,Manufacturing Director,Research & Development,Bachelor's,51,1,5482,2,3
410,No,Manager,Sales,Master's,41,0,16015,2,3
411,No,Sales Representative,Sales,Bachelor's,18,0,1200,3,3
412,No,Healthcare Representative,Research & Development,Some university,28,0,5661,1,3
416,No,Sales Executive,Sales,Bachelor's,31,7,6929,4,3
417,No,Healthcare Representative,Research & Development,Bachelor's,39,3,9613,4,3
419,No,Laboratory Technician,Research & Development,Master's,36,0,5674,2,3
420,No,Sales Executive,Sales,Bachelor's,32,4,5484,3,3
421,No,Research Director,Research & Development,Some university,38,0,12061,2,3
422,No,Healthcare Representative,Research & Development,Master's,58,1,5660,3,3
423,No,Research Scientist,Research & Development,Master's,31,0,4821,4,3
424,No,Human Resources,Human Resources,Bachelor's,31,1,6410,1,3
425,No,Laboratory Technician,Research & Development,Bachelor's,45,9,5210,1,3
426,No,Research Scientist,Research & Development,Master's,31,2,2695,4,3
428,No,Manager,Research & Development,Master's,33,8,11878,2,3
429,No,Manager,Research & Development,High school or below,39,11,17068,1,3
430,No,Laboratory Technician,Research & Development,Master's,43,1,2455,4,3
431,No,Healthcare Representative,Research & Development,Some university,49,0,13964,3,3
433,Yes,Research Scientist,Research & Development,Master's,52,7,4941,2,3
434,No,Research Scientist,Research & Development,Bachelor's,27,1,2478,2,3
436,No,Sales Executive,Sales,Some university,32,11,5228,2,3
437,No,Sales Executive,Sales,Bachelor's,27,0,4478,3,3
438,No,Sales Executive,Sales,Bachelor's,31,1,7547,4,3
439,No,Research Scientist,Research & Development,Master's,32,0,5055,4,3
440,Yes,Research Scientist,Research & Development,Master's,28,2,3464,4,3
441,No,Research Scientist,Research & Development,Some university,30,1,5775,4,3
442,No,Manufacturing Director,Research & Development,Some university,31,8,8943,3,4
444,No,Manager,Research & Development,Some university,39,13,19272,4,3
445,Yes,Sales Executive,Sales,Some university,39,0,5238,3,3
446,No,Sales Executive,Sales,Bachelor's,33,0,4682,4,3
447,No,Research Director,Research & Development,Doctorate,47,1,18300,3,3
448,No,Laboratory Technician,Research & Development,Master's,43,0,5257,3,3
449,No,Sales Executive,Sales,High school or below,27,1,6349,2,3
450,No,Research Scientist,Research & Development,Master's,54,0,4869,3,3
451,No,Healthcare Representative,Research & Development,Bachelor's,43,0,9985,1,3
452,No,Research Scientist,Research & Development,Master's,45,9,3697,4,3
453,No,Sales Executive,Sales,Some university,40,0,7457,4,4
454,Yes,Laboratory Technician,Research & Development,Master's,29,0,2119,1,3
455,No,Laboratory Technician,Research & Development,Doctorate,29,2,3983,4,3
456,No,Sales Executive,Sales,Bachelor's,30,1,6118,3,3
458,No,Sales Executive,Sales,Master's,27,0,6214,2,3
460,No,Manufacturing Director,Research & Development,Some university,37,0,6347,4,3
461,No,Research Director,Research & Development,Some university,38,2,11510,4,3
462,No,Manufacturing Director,Research & Development,Master's,31,4,7143,4,3
463,No,Sales Executive,Sales,High school or below,29,1,8268,2,3
464,No,Manufacturing Director,Research & Development,Master's,35,0,8095,2,3
465,No,Research Scientist,Research & Development,High school or below,23,0,2904,4,3
466,No,Manufacturing Director,Research & Development,Bachelor's,41,1,6032,2,3
467,No,Sales Representative,Sales,High school or below,47,0,2976,3,3
468,No,Research Director,Research & Development,Doctorate,42,0,15992,4,3
469,No,Sales Executive,Sales,Bachelor's,29,0,4649,3,3
470,No,Human Resources,Human Resources,High school or below,42,1,2696,3,3
471,No,Laboratory Technician,Research & Development,Bachelor's,32,0,2370,2,3
473,No,Manager,Sales,High school or below,48,0,12504,3,4
474,No,Research Scientist,Research & Development,Bachelor's,37,6,5974,1,3
475,No,Sales Executive,Sales,Some university,30,2,4736,3,3
476,No,Sales Executive,Sales,Bachelor's,26,7,5296,3,3
477,No,Healthcare Representative,Research & Development,Master's,42,0,6781,4,4
478,Yes,Sales Representative,Sales,High school or below,21,1,2174,2,3
479,No,Sales Executive,Sales,Doctorate,36,0,6653,4,3
481,No,Sales Executive,Sales,Master's,36,1,9699,4,3
482,No,Healthcare Representative,Research & Development,Master's,57,1,6755,3,3
483,No,Laboratory Technician,Research & Development,Master's,40,1,2213,3,3
484,No,Sales Representative,Sales,Some university,21,2,2610,4,4
485,Yes,Sales Representative,Sales,Bachelor's,33,0,2851,3,3
486,No,Laboratory Technician,Research & Development,Bachelor's,37,0,3452,1,4
487,No,Manufacturing Director,Research & Development,Master's,46,0,5258,3,3
488,Yes,Sales Executive,Sales,Bachelor's,41,7,9355,2,3
491,No,Healthcare Representative,Research & Development,Bachelor's,50,1,10496,4,3
492,Yes,Sales Executive,Sales,Some university,40,1,6380,3,3
493,No,Research Scientist,Research & Development,Master's,31,2,2657,2,3
494,Yes,Sales Representative,Sales,Bachelor's,21,0,2716,2,3
495,No,Research Scientist,Research & Development,Bachelor's,29,1,2201,4,3
496,No,Healthcare Representative,Research & Development,Master's,35,0,6540,2,3
497,No,Laboratory Technician,Research & Development,Some university,27,0,3816,2,3
498,No,Sales Executive,Sales,Master's,28,0,5253,4,3
499,No,Healthcare Representative,Research & Development,Bachelor's,49,0,10965,3,4
500,No,Sales Executive,Sales,Some university,51,0,4936,4,3
501,No,Research Scientist,Research & Development,Bachelor's,36,2,2543,3,3
502,Yes,Sales Executive,Sales,Bachelor's,34,0,5304,4,3
505,No,Manager,Research & Development,Bachelor's,55,1,16659,4,3
507,No,Sales Executive,Sales,Master's,24,0,4260,3,3
508,No,Sales Representative,Sales,High school or below,30,0,2476,2,3
510,Yes,Research Scientist,Research & Development,High school or below,26,0,3102,1,4
511,No,Research Scientist,Research & Development,Bachelor's,22,1,2244,2,3
513,No,Sales Executive,Sales,Some university,36,9,7596,3,3
514,Yes,Research Scientist,Research & Development,Bachelor's,30,0,2285,4,4
515,No,Laboratory Technician,Research & Development,Bachelor's,37,12,3034,1,3
516,No,Sales Executive,Sales,Some university,40,1,5715,2,3
517,No,Laboratory Technician,Research & Development,Master's,42,1,2576,1,3
518,No,Manufacturing Director,Research & Development,Master's,37,0,4197,2,3
520,No,Research Director,Research & Development,Bachelor's,43,3,14336,2,3
521,No,Laboratory Technician,Research & Development,Bachelor's,40,0,3448,3,4
522,No,Research Director,Research & Development,Some university,54,1,19406,1,3
523,No,Sales Executive,Sales,Master's,34,1,6538,3,3
524,No,Manufacturing Director,Research & Development,Some university,31,3,4306,1,3
525,No,Laboratory Technician,Research & Development,Bachelor's,43,1,2258,4,4
526,No,Healthcare Representative,Research & Development,Master's,43,0,4522,3,3
527,No,Sales Executive,Sales,Some university,25,1,4487,4,3
529,No,Research Scientist,Research & Development,Doctorate,37,10,4449,3,3
530,No,Laboratory Technician,Research & Development,Some university,31,3,2218,1,3
531,No,Manager,Research & Development,High school or below,39,1,19197,3,3
532,No,Sales Executive,Sales,Bachelor's,56,7,13212,1,3
533,No,Sales Executive,Sales,Bachelor's,30,4,6577,3,3
534,No,Sales Executive,Sales,Bachelor's,41,0,8392,1,3
536,No,Laboratory Technician,Research & Development,Some university,28,1,4558,1,3
538,Yes,Laboratory Technician,Research & Development,Bachelor's,25,0,4031,1,3
543,No,Manufacturing Director,Research & Development,Bachelor's,52,0,7969,3,3
544,No,Research Scientist,Research & Development,Some university,45,0,2654,4,4
546,No,Manager,Research & Development,Some university,52,1,16555,4,3
547,No,Research Scientist,Research & Development,Some university,42,0,4556,3,3
548,No,Manufacturing Director,Research & Development,Bachelor's,30,0,6091,4,4
549,No,Manager,Research & Development,Bachelor's,60,11,19566,1,3
550,No,Manufacturing Director,Research & Development,Bachelor's,46,0,4810,3,3
551,No,Healthcare Representative,Research & Development,Master's,42,0,4523,4,3
554,Yes,Sales Representative,Sales,High school or below,24,1,3202,2,3
